HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
95,Ecuador,0.74,73.67,14.62423038,8.817119598,10311.63273,11,99,2,0.7001326082666667,ECU,Americas,Latin America and the Caribbean,-2,-77.5
96,Mongolia,0.739,70.9754,14.98034954,9.423700333,10588.22532,9,90,2,0.7302441649888889,MNG,Asia,Eastern Asia,46,105
97,Egypt,0.731,70.2207,13.78649972,9.573026174,11731.69056,4,97,2,0.7020591980222222,EGY,Africa,Northern Africa,27,30
97,Tunisia,0.731,73.7719,15.42538224,7.431598614,10257.54477,10,94,2,0.6762027937999999,TUN,Africa,Northern Africa,34,9
99,Fiji,0.73,67.114,14.73679,10.92154799,9980.110866,9,94,2,0.7734068774444445,FJI,Oceania,Melanesia,-18,175
99,Suriname,0.73,70.2743,13.03564357,9.77680063,12672.20033,-6,92,2,0.6879945646111111,SUR,Americas,Latin America and the Caribbean,4,-56
101,Uzbekistan,0.727,70.8616,12.47714043,11.89558983,7916.785725,18,107,2,0.7431068951666667,UZB,Asia,Central Asia,41,64
102,Dominica,0.72,72.814,13.3191862,8.142186,11487.62422,0,106,2,0.6413835944444445,DMA,Americas,Latin America and the Caribbean,15.4167,-61.3333
102,Jordan,0.72,74.2563,10.64655972,10.44668007,9923.714974,8,104,2,0.643960439,JOR,Asia,Western Asia,31,36
104,Libya,0.718,71.9112,12.85428,7.599985,15335.712,-27,117,2,0.6103961666666666,LBY,Africa,Northern Africa,25,17
104,Libya,0.718,71.9112,12.85428,7.599985,15335.712,-27,117,2,0.6103961666666666,LBY,Africa,Northern Africa,25,17
105,Paraguay,0.717,70.2617,12.98799113,8.861840248,12349.286,-10,100,2,0.6561722063222222,PRY,Americas,Latin America and the Caribbean,-23,-58
106,"Palestine, State of",0.715,73.4727,13.35801029,9.938480377,6582.899416,21,109,2,0.7023385206222221,PSE,Asia,Western Asia,32,35.25
106,Saint Lucia,0.715,71.1114,12.86610985,8.545040131,12048.30381,-7,104,2,0.6422266113111111,LCA,Americas,Latin America and the Caribbean,13.8833,-61.1333
108,Guyana,0.714,65.6734,12.50272216,8.617477,22464.65734,-47,107,2,0.6345470711111111,GUY,Americas,Latin America and the Caribbean,5,-59
109,South Africa,0.713,62.341,13.64371014,11.37316036,12948.37325,-17,102,2,0.7580972936666667,ZAF,Africa,Sub-Saharan Africa,-29,24
110,Jamaica,0.709,70.5003,13.40492042,9.154628661,8834.47567,4,110,2,0.6775131892555555,JAM,Americas,Latin America and the Caribbean,18.25,-77.5
111,Samoa,0.707,72.7675,12.41885948,11.4038,5307.953374,24,112,2,0.7250949855555555,WSM,Oceania,Polynesia,-13.5833,-172.3333
112,Gabon,0.706,65.821,12.97731,9.436,13366.93455,-25,113,2,0.6750141666666667,GAB,Africa,Sub-Saharan Africa,-1,11.75
112,Lebanon,0.706,75.0472,11.28587,8.718636,9525.831467,-1,103,2,0.6041175888888889,LBN,Asia,Western Asia,33.8333,35.8333
114,Indonesia,0.705,67.5703,13.74889386,8.556509972,11466.06836,-11,116,2,0.6671307174000001,IDN,Asia,South-eastern Asia,-5,120
115,Viet Nam,0.703,73.6181,12.9519325,8.370280266,7867.371345,6,113,2,0.6387852449777778,VNM,Asia,South-eastern Asia,16,106
115,Viet Nam,0.703,73.6181,12.9519325,8.370280266,7867.371345,6,113,2,0.6387852449777778,VNM,Asia,South-eastern Asia,16,106
116,Philippines,0.699,69.2664,13.12656975,8.969099998,8920.428468,-3,113,3,0.6635969374333333,PHL,Asia,South-eastern Asia,13,122
117,Botswana,0.693,61.1409,12.26513765,10.34,16198.31841,-43,110,3,0.6853649347222222,BWA,Africa,Sub-Saharan Africa,-22,24
118,Bolivia (Plurinational State of),0.692,63.6304,14.94697094,9.827750206,8111.190194,0,119,3,0.7427853107555555,BOL,Americas,Latin America and the Caribbean,-17,-65
118,Bolivia (Plurinational State of),0.692,63.6304,14.94697094,9.827750206,8111.190194,0,119,3,0.7427853107555555,BOL,Americas,Latin America and the Caribbean,-17,-65
118,Kyrgyzstan,0.692,69.9774,13.1953001,11.37410556,4566.303831,26,121,3,0.745672965888889,KGZ,Asia,Central Asia,41,75
120,Venezuela (Bolivarian Republic of),0.691,70.5536,12.81608,11.10727736,4810.882621,20,118,3,0.7262448008888889,VEN,Americas,Latin America and the Caribbean,8,-66
120,Venezuela (Bolivarian Republic of),0.691,70.5536,12.81608,11.10727736,4810.882621,20,118,3,0.7262448008888889,VEN,Americas,Latin America and the Caribbean,8,-66
121,Iraq,0.686,70.3779,12.08747317,7.905593489,9977.249073,-12,122,3,0.5992829265777778,IRQ,Asia,Western Asia,33,44
122,Tajikistan,0.685,71.5942,11.65303618,11.3333938,4547.742427,23,126,3,0.7014752427777777,TJK,Asia,Central Asia,39,71
123,Belize,0.683,70.4697,12.99168968,8.847599983,6309.099778,6,120,3,0.6558002683222223,BLZ,Americas,Latin America and the Caribbean,17.25,-88.75
123,Morocco,0.683,74.0419,14.15190983,5.916,7302.81917,1,122,3,0.5903086063888889,MAR,Africa,Northern Africa,32,-5
125,El Salvador,0.675,70.7479,12.67134767,7.150929928,8295.665889,-8,124,3,0.5903462106555556,SLV,Americas,Latin America and the Caribbean,13.8333,-88.9167
126,Nicaragua,0.667,73.8368,12.64135783,7.144,5624.793595,6,129,3,0.5892821619444445,NIC,Americas,Latin America and the Caribbean,13,-85
127,Bhutan,0.666,71.815,13.22500478,5.170262283,9437.541512,-15,125,3,0.5397033199888889,BTN,Asia,Southern Asia,27.5,90.5
128,Cabo Verde,0.662,74.0518,12.55461444,6.287719287,6230.200199,2,127,3,0.5583299329,CPV,Africa,Sub-Saharan Africa,16,-24
129,Bangladesh,0.661,72.3811,12.44198036,7.379059792,5472.104781,4,128,3,0.591579225288889,BGD,Asia,Southern Asia,24,90
130,Tuvalu,0.641,64.5466,9.40443,10.57310772,6351.435899,-2,131,3,0.6136710906666667,TUV,Oceania,Polynesia,-8,178
131,Marshall Islands,0.639,65.2688,10.2393198,10.88313961,4619.535393,12,131,3,0.6471968703333334,MHL,Oceania,Micronesia,9,168
132,India,0.633,67.2398,11.87462044,6.655109195,6589.980037,-6,130,3,0.5516875409444444,IND,Asia,Southern Asia,20,77
133,Ghana,0.632,63.7954,12.04778004,8.329886695,5744.504017,-2,135,3,0.6123234465,GHA,Africa,Sub-Saharan Africa,8,-2
134,Micronesia (Federated States of),0.628,70.71,11.54947988,7.804956,3696.173945,22,136,3,0.5809840855555555,FSM,Oceania,Micronesia,6.9167,158.25
135,Guatemala,0.627,69.2368,10.56245041,5.681300163,8723.285317,-20,133,3,0.4827780723777778,GTM,Americas,Latin America and the Caribbean,15.5,-90.25
136,Kiribati,0.624,67.4172,11.801993,7.984461822,4062.586034,14,137,3,0.5939818662888889,KIR,Oceania,Micronesia,1.4167,173
137,Honduras,0.621,70.1229,10.13281417,7.088479996,5297.955301,-1,138,3,0.5177497268111111,HND,Americas,Latin America and the Caribbean,15,-86.5
138,Sao Tome and Principe,0.618,67.5912,13.36538506,6.215599435,4021.350815,13,139,3,0.5784473439444444,STP,Africa,Sub-Saharan Africa,1,7
139,Namibia,0.615,59.269,11.92720692,7.192013277,8633.504452,-23,134,3,0.5710450792333333,NAM,Africa,Sub-Saharan Africa,-22,17
140,Lao People's Democratic Republic,0.607,68.0608,10.13611031,5.374,7699.579617,-18,142,3,0.4606919530555555,LAO,Asia,South-eastern Asia,18,105
140,Timor-Leste,0.607,67.7369,12.616098,5.43679,4460.869435,7,140,3,0.5316735,TLS,Asia,South-eastern Asia,-8.55,125.5167
140,Vanuatu,0.607,70.449,11.53531503,7.064846,3085.411633,23,142,3,0.5559202841666666,VUT,Oceania,Melanesia,-16,167
143,Nepal,0.602,68.4495,12.88694954,5.121792742,3877.315444,10,144,3,0.528697245288889,NPL,Asia,Southern Asia,28,84
145,Equatorial Guinea,0.596,60.5943,9.73494,5.910863,12073.95993,-47,147,3,0.46744376666666665,GNQ,Africa,Sub-Saharan Africa,2,10
146,Cambodia,0.593,69.5835,11.46772,5.088,4078.697154,3,148,3,0.48814777777777774,KHM,Asia,South-eastern Asia,13,105
146,Zimbabwe,0.593,59.2531,12.11096904,8.710908501,3809.887158,9,145,3,0.6267794233666667,ZWE,Africa,Sub-Saharan Africa,-20,30
148,Angola,0.586,61.6434,12.1721,5.417390823,5465.617791,-14,149,3,0.5186935829888889,AGO,Africa,Sub-Saharan Africa,-12.5,18.5
149,Myanmar,0.585,65.6716,10.90913752,6.37680006,3850.524234,5,145,3,0.5155915997777778,MMR,Asia,South-eastern Asia,22,98
149,Myanmar,0.585,65.6716,10.90913752,6.37680006,3850.524234,5,145,3,0.5155915997777778,MMR,Asia,South-eastern Asia,22,98
150,Syrian Arab Republic,0.577,72.0627,9.164219856,5.1,4191.933893,-2,152,3,0.4245616626666667,SYR,Asia,Western Asia,35,38
151,Cameroon,0.576,60.3334,13.10859922,6.15131,3620.932408,6,150,3,0.5691714227777778,CMR,Africa,Sub-Saharan Africa,6,12
152,Kenya,0.575,61.427,10.69855835,6.652,4473.570344,-6,150,3,0.5189155097222222,KEN,Africa,Sub-Saharan Africa,1,38
153,Congo,0.571,63.5187,12.33081527,6.166,2889.283521,11,153,3,0.5480559797222222,COG,Africa,Sub-Saharan Africa,-1,15
154,Zambia,0.565,61.2234,10.92876021,7.187091494,3217.767739,7,154,3,0.5431463889666667,ZMB,Africa,Sub-Saharan Africa,-15,30
155,Solomon Islands,0.564,70.3477,10.32869027,5.711848,2481.511362,13,155,3,0.47730299638888884,SLB,Oceania,Melanesia,-8,159
156,Comoros,0.558,63.4174,11.92432393,5.078649,3142.064119,6,156,3,0.5005195202777778,COM,Africa,Sub-Saharan Africa,-12.1667,44.25
156,Papua New Guinea,0.558,65.3506,10.36077074,4.74,4008.623573,-4,157,3,0.4457991872222222,PNG,Oceania,Melanesia,-6,147
158,Mauritania,0.556,64.3636,9.376159668,4.918804891,5075.305711,-20,158,3,0.42440904269999996,MRT,Africa,Sub-Saharan Africa,20,-12
159,Côte d'Ivoire,0.55,58.5983,10.67558002,5.199138977,5217.448516,-22,159,3,0.46984852201111105,CIV,Africa,Sub-Saharan Africa,8,-5
159,Côte d'Ivoire,0.55,58.5983,10.67558002,5.199138977,5217.448516,-22,159,3,0.46984852201111105,CIV,Africa,Sub-Saharan Africa,8,-5
161,Pakistan,0.544,66.0979,8.658349991,4.536330223,4623.70543,-19,161,4,0.3917207294055556,PAK,Asia,Southern Asia,30,70
162,Togo,0.539,61.6194,12.95049378,5.016807367,2166.619062,12,163,4,0.5269628505666667,TGO,Africa,Sub-Saharan Africa,8,1.1667
163,Haiti,0.535,63.1924,9.7,5.554,2847.500746,2,162,4,0.45457777777777775,HTI,Americas,Latin America and the Caribbean,19,-72.4167
163,Nigeria,0.535,52.676,10.12758388,7.181074153,4790.284425,-22,163,4,0.5206909128777778,NGA,Africa,Sub-Saharan Africa,10,8
165,Rwanda,0.534,66.0722,11.23097038,4.425292358,2209.795202,6,165,4,0.4594811447111111,RWA,Africa,Sub-Saharan Africa,-2,30
166,Benin,0.525,59.821,10.76667976,4.304786445,3408.965923,-7,166,4,0.4425673192777778,BEN,Africa,Sub-Saharan Africa,9.5,2.25
166,Uganda,0.525,62.7048,10.14986994,5.730941566,2181.43651,6,166,4,0.47297221720000004,UGA,Africa,Sub-Saharan Africa,1,32
168,Lesotho,0.514,53.062,12.04087801,6.010184707,2700.435748,-2,168,4,0.5348083238444444,LSO,Africa,Sub-Saharan Africa,-29.5,28.5
169,Malawi,0.512,62.9044,12.67898523,4.489695385,1465.635064,13,169,4,0.501850547,MWI,Africa,Sub-Saharan Africa,-13.5,34
170,Senegal,0.511,67.0926,8.963749886,2.937938258,3344.311825,-10,170,4,0.3469243276555556,SEN,Africa,Sub-Saharan Africa,14,-14
171,Djibouti,0.509,62.3049,7.43298,4.1,5024.993944,-32,171,4,0.3431383333333333,DJI,Africa,Sub-Saharan Africa,11.5,43
172,Sudan,0.508,65.2667,7.945187858,3.82,3575.19084,-14,171,4,0.34803299605555554,SDN,Africa,Northern Africa,15,30
173,Madagascar,0.501,64.4853,10.13499142,5.120468534,1483.520983,8,173,4,0.4522098239111111,MDG,Africa,Sub-Saharan Africa,-20,47
174,Gambia,0.5,62.083,9.418626299,4.637487411,2172.207664,-1,173,4,0.4162114220055556,GMB,Africa,Sub-Saharan Africa,13.4667,-16.5667
175,Ethiopia,0.498,64.9748,9.651071421,3.201520681,2361.069604,-5,175,4,0.3748026732833333,ETH,Africa,Sub-Saharan Africa,8,38
176,Eritrea,0.492,66.5358,8.064524628,4.8872352,1728.742667,3,176,4,0.38692241299999997,ERI,Africa,Sub-Saharan Africa,15,39
177,Guinea-Bissau,0.483,59.6523,10.61306278,3.583719,1908.24159,0,177,4,0.41426459944444444,GNB,Africa,Sub-Saharan Africa,12,-15
178,Liberia,0.481,60.7472,10.42078972,5.082,1288.74235,7,179,4,0.4588663811111111,LBR,Africa,Sub-Saharan Africa,6.5,-9.5
180,Afghanistan,0.478,61.9824,10.26384398,2.98506999,1824.190915,-2,177,4,0.3846091102222222,AFG,Asia,Southern Asia,33,65
181,Sierra Leone,0.477,60.0624,9.57339109,4.576081285,1621.512579,-1,181,4,0.4184635731111111,SLE,Africa,Sub-Saharan Africa,8.5,-11.5
182,Guinea,0.465,58.8922,9.805297465,2.202125952,2480.887182,-13,182,4,0.3457735724277778,GIN,Africa,Sub-Saharan Africa,11,-10
183,Yemen,0.455,63.7534,9.09871006,3.2,1314.270189,1,183,4,0.3594086127777778,YEM,Asia,Western Asia,15,48
184,Burkina Faso,0.449,59.2696,9.142100334,2.114962259,2117.915916,-8,185,4,0.32444597346666665,BFA,Africa,Sub-Saharan Africa,13,-2
185,Mozambique,0.446,59.3247,10.2191516,3.197641838,1198.073924,2,184,4,0.3904533834888889,MOZ,Africa,Sub-Saharan Africa,-18.25,35
186,Mali,0.428,58.9414,7.423037617,2.31,2132.629443,-11,186,4,0.2831954893611111,MLI,Africa,Sub-Saharan Africa,17,-4
187,Burundi,0.426,61.6627,10.72272189,3.129266883,731.7867086,4,187,4,0.40216228193333337,BDI,Africa,Sub-Saharan Africa,-3.5,30
188,Central African Republic,0.404,53.8947,8.040171714,4.334,966.0586107,1,188,4,0.3678047698333333,CAF,Africa,Sub-Saharan Africa,7,21
189,Niger,0.4,61.5763,6.957111988,2.116717299,1239.866936,-3,189,4,0.26381035407777775,NER,Africa,Sub-Saharan Africa,16,8
190,Chad,0.394,52.5254,8.035914334,2.57377421,1364.169417,-7,190,4,0.30901231627777775,TCD,Africa,Sub-Saharan Africa,15,19
191,South Sudan,0.385,54.9752,5.54251,5.726140022,767.787,-1,191,4,0.34482994517777776,SSD,Africa,Sub-Saharan Africa,8,30
